# Genome	Order	Family	Subfamily	Genus	Class	Virus Name	GenBank Accession Number	RefSeq Accession Number	Accession number used	Sequence description	Host
V_-ssRNAviruses	Articulavirales	Amnoonviridae		Tilapinevirus	Amnoonviridae	Tilapia tilapinevirus	KU751814, KU751815, KU751816, KU751817, KU751818, KU751819, KU751820, KU751821, KU751822, KU751823	NC_029926, NC_029921, NC_029927, NC_029922, NC_029923, NC_029928, NC_029924, NC_029929, NC_029925, NC_029930	KU751814, KU751815, KU751816, KU751817, KU751818, KU751819, KU751820, KU751821, KU751822, KU751823	Tilapia lake virus isolate Til-4-2011 segment 1, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 2, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 3, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 4, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 5, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 6, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 7, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 8, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 9, complete sequence., Tilapia lake virus isolate Til-4-2011 segment 10, complete sequence.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Isavirus	Orthomyxoviridae	Infectious salmon anemia virus	AF404346, AY373381, AF404345, AF404344, AF404343, AF404342, AF404341, AF404340	NC_006503, NC_006505, NC_006502, NC_006501, NC_006500, NC_006499, NC_006498, NC_006497	AF404346, AY373381, AF404345, AF404344, AF404343, AF404342, AF404341, AF404340	Infectious salmon anemia virus segment 2 putative PB1 protein (PB1) gene, complete cds., Infectious salmon anemia virus isolate 810/9/99 PB2 polymerase (PB2) mRNA, complete cds., Infectious salmon anemia virus segment 3 putative nucleocapsid protein (NP) gene, complete cds., Infectious salmon anemia virus segment 4 putative PA protein (P2) gene, complete cds., Infectious salmon anemia virus segment 5 putative acetylesterase (P3) gene, complete cds., Infectious salmon anemia virus segment 6 putative HA protein (HA) gene, complete cds., Infectious salmon anemia virus segment 7 P4 and P5 genes, complete cds., Infectious salmon anemia virus segment 8 P6 and P7 genes, complete cds.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Quaranjavirus	Orthomyxoviridae	Quaranfil virus	GQ499302, GQ499303, FJ861695, JN412853, FJ861694, GQ499304		GQ499302, GQ499303, FJ861695, JN412853, FJ861694, GQ499304	Quaranfil virus isolate EG T 377 polymerase PB2 (PB2) gene, complete cds., Quaranfil virus isolate EG T 377 polymerase PA (PA) gene, complete cds., Quaranfil virus isolate EG T 377 polymerase PB1 (PB1) gene, complete cds., Quaranfil virus isolate EG T 377 hypothetical protein gene, complete cds., Quaranfil virus isolate EG T 377 hemagglutinin (HA) gene, complete cds., Quaranfil virus isolate EG T 377 unknown gene.	vertebrates, invertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Quaranjavirus	Orthomyxoviridae	Wellfleet Bay virus	KM114304, KM114305, KM114306, KM114307, KM114308, KM114309, KM114310	NC_025795, NC_025796, NC_025797, NC_025793, NC_025798, NC_025799, NC_025794	KM114304, KM114305, KM114306, KM114307, KM114308, KM114309, KM114310	Wellfleet Bay virus isolate 10-280-G segment 1 polymerase basic 2 protein (PB2) gene, complete cds., Wellfleet Bay virus isolate 10-280-G segment 2 polymerase basic 1 protein (PB1) gene, complete cds., Wellfleet Bay virus isolate 10-280-G segment 3 polymerase acidic protein (PA) gene, complete cds., Wellfleet Bay virus isolate 10-280-G segment 4 nucleoprotein (NP) gene, complete cds., Wellfleet Bay virus isolate 10-280-G segment 5 hemagglutinin protein (HA) gene, complete cds., Wellfleet Bay virus isolate 10-280-G segment 6 matrix protein (M) gene, complete cds., Wellfleet Bay virus isolate 10-280-G segment 7 viral protein 7 (VP7) gene, complete cds.	vertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Thogotovirus	Orthomyxoviridae	Dhori virus	GU969308, GU969313, GU969309, GU969310, GU969311, GU969312	NC_034261, NC_034263, NC_034254, NC_034255, NC_034262, NC_034256	GU969308, GU969313, GU969309, GU969310, GU969311, GU969312	Dhori virus isolate Dhori/1313/61 segment 1, complete sequence., Dhori virus isolate Dhori/1313/61 segment 2, complete sequence., Dhori virus isolate Dhori/1313/61 segment 3, complete sequence., Dhori virus isolate Dhori/1313/61 segment 4, complete sequence., Dhori virus isolate Dhori/1313/61 segment 5, complete sequence., Dhori virus isolate Dhori/1313/61 segment 6, complete sequence.	vertebrates, invertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Thogotovirus	Orthomyxoviridae	Thogoto virus	Y17873, AF004985, AF006073, M77280, X96872, AF527531	NC_006508, NC_006495, NC_006496, NC_006506, NC_006507, NC_006504	Y17873, AF004985, AF006073, M77280, X96872, AF527531	Thogoto virus genomic RNA for PB2 polymerase subunit., Thogoto virus segment 2 PB1 protein mRNA, complete cds., Thogoto virus segment 3 PA polymerase subunit mRNA, complete cds., Thogoto virus (Orthomyxovirus) glycoprotein 75 (segment 4) RNA, complete cds., Thogoto virus genomic RNA for nucleoprotein., Thogoto virus strain SiAr126 segment 6, complete sequence.	vertebrates, invertebrates
V_-ssRNAviruses	Articulavirales	Orthomyxoviridae		Unassigned	Orthomyxoviridae	Influenza D virus (D/bovine/France/2986/2012)	LN559120, LN559121, LN559122, LN559126, LN559123, LN559124, LN559125	NC_026953, NC_026956, NC_026948, NC_026952, NC_026949, NC_026950, NC_026951	LN559120, LN559121, LN559122, LN559126, LN559123, LN559124, LN559125	Influenza D virus (D/bovine/France/2986/2012) viral cRNA for PB2 (PB2 gene)., Influenza D virus (D/bovine/France/2986/2012) viral cRNA for PB1 (PB1 gene)., Influenza D virus (D/bovine/France/2986/2012) viral cRNA for P3 (P3 gene)., Influenza D virus (D/bovine/France/2986/2012) viral cRNA for HEF (HEF gene)., Influenza D virus (D/bovine/France/2986/2012) viral cRNA for NP (NP gene)., Influenza D virus (D/bovine/France/2986/2012) viral cRNA for M1 (M gene)., Influenza D virus (D/bovine/France/2986/2012) viral cRNA for NS1 (NS gene).	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Arenavirus	Arenaviridae	Mopeia Lassa virus reassortant 29	AY772167, AY772168	NC_006572, NC_006573	AY772167, AY772168	Mopeia Lassa reassortant 29 segment L, complete sequence., Mopeia Lassa reassortant 29 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Arenavirus	Arenaviridae	Morogoro virus	EU914104, EU914103	NC_013058, NC_013057	EU914104, EU914103	Morogoro virus strain 3017/2004 segment L Z protein (Z) and polymerase (L) genes, complete cds., Morogoro virus strain 3017/2004 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Allpahuayo mammarenavirus	AY216502, AY012687	NC_010249, NC_010253	AY216502, AY012687	Allpahuayo virus strain CLHP-2472 segment L, complete sequence., Allpahuayo virus strain CLHP-2472 nucleocapsid protein (N) and glycoprotein precursor (GPC) genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Amapari mammarenavirus	AY216517, AF485256	NC_010251, NC_010247	AY216517, AF485256	Amapari virus strain BeAn 70563 segment L, complete sequence., Amapari virus strain BeAn 70563 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Bear Canyon mammarenavirus	AY924390, AY924391	NC_010255, NC_010256	AY924390, AY924391	Bear Canyon virus strain AV A0070039 Z protein and RNA-dependent RNA polymerase genes, complete cds., Bear Canyon virus strain AV A0070039 glycoprotein precursor and nucleocapsid protein genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Chapare mammarenavirus	EU260464, EU260463	NC_010563, NC_010562	EU260464, EU260463	Chapare virus strain 810419 segment L, complete sequence., Chapare virus strain 810419 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Cupixi mammarenavirus	AY216519, AF512832	NC_010252, NC_010254	AY216519, AF512832	Cupixi virus strain BeAn 119303 segment L, complete sequence., Cupixi virus strain BeAn 119303 glycoprotein precursor and nucleocapsid protein genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Flexal mammarenavirus	EU627611, AF512831	NC_010759, NC_010757	EU627611, AF512831	Flexal virus strain BeAn 293022 segment L, complete sequence., Flexal virus strain BeAn 293022 glycoprotein precursor and nucleocapsid protein genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Gairo mammarenavirus	KJ855307, KJ855308	NC_026247, NC_026246	KJ855307, KJ855308	Gairo virus isolate TZ-27421_L segment L, complete sequence., Gairo virus isolate TZ-27421_S segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Guanarito mammarenavirus	AY358024, AY129247	NC_005082, NC_005077	AY358024, AY129247	Guanarito virus strain INH-95551 segment L, complete sequence., Guanarito virus strain INH-95551 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Ippy mammarenavirus	DQ328878, DQ328877	NC_007906, NC_007905	DQ328878, DQ328877	Ippy virus strain Dak An B 188 d segment L, complete sequence., Ippy virus strain Dak An B 188 d segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Junin mammarenavirus	AY358022, AY358023	NC_005080, NC_005081	AY358022, AY358023	Junin virus strain XJ13 segment L, complete sequence., Junin virus strain XJ13 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Lassa mammarenavirus	U73034, J04324	NC_004297, NC_004296	U73034, J04324	Lassa virus Z protein and L protein genes, complete cds., Lassa virus S genome encoding the nucleoprotein and glycoprotein mRNAs, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Latino mammarenavirus	EU627612, AF512830	NC_010760, NC_010758	EU627612, AF512830	Latino virus strain MARU 10924 segment L, complete sequence., Latino virus strain MARU 10924 glycoprotein precursor and nucleocapsid protein genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Loei River mammarenavirus	KC669693, KC669698		KC669693, KC669698	Loie River virus isolate R5074 Z protein (Z) and RNA-dependent RNA polymerase (L) genes, complete cds., Loie River virus isolate R5074 glycoprotein precursor (GPC) and nucleocapsid protein (NP) genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Lujo mammarenavirus	FJ952385, FJ952384	NC_012777, NC_012776	FJ952385, FJ952384	Lujo virus segment L multifunctional matrix-like protein and large RNA-dependent RNA polymerase genes, complete cds., Lujo virus segment S glycoprotein precursor and nucleocapsid protein genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Luna mammarenavirus	AB586645, AB586644	NC_016153, NC_016152	AB586645, AB586644	Luna virus genomic RNA, segment L, complete sequence, strain: LSK-1., Luna virus genomic RNA, segment S, complete sequence, strain: LSK-1.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Lunk mammarenavirus	AB693151, AB693150	NC_018711, NC_018710	AB693151, AB693150	Lunk virus NKS-1 RNA, segment L, complete sequence., Lunk virus NKS-1 RNA, segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Lymphocytic choriomeningitis mammarenavirus	J04331, M20869	NC_004291, NC_004294	J04331, M20869	Lymphocytic choriomeningitis virus putative RNA polymerase L gene, complete cds., Lymphocytic choriomeningitis virus envelope glycoprotein (GP-C) and nucleoprotein (NP) genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Machupo mammarenavirus	AY358021, AY129248	NC_005079, NC_005078	AY358021, AY129248	Machupo virus strain Carvallo segment L, complete sequence., Machupo virus strain Carvallo segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Mariental mammarenavirus	KP867641, KM272987	NC_027136, NC_027134	KP867641, KM272987	Mariental virus strain N27 MRMi.n9 segment L, complete sequence., Mariental virus strain N27 MRMi.n9 segment S glycoprotein precursor and nucleocapsid protein genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Merino Walk mammarenavirus	GU078661, GU078660	NC_023763, NC_023764	GU078661, GU078660	Merino Walk virus Z protein and L genes, complete cds., Merino Walk virus GP (GP) and NP (NP) genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Mobala mammarenavirus	DQ328876, AY342390	NC_007904, NC_007903	DQ328876, AY342390	Mobala virus strain Acar 3080 segment L, complete sequence., Mobala virus strain ACAR 3080 MRC5 P2 glycoprotein precursor and nucleocapsid protein genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Mopeia mammarenavirus	AY772169, AY772170	NC_006574, NC_006575	AY772169, AY772170	Mopeia virus AN20410 segment L, complete sequence., Mopeia virus AN20410 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Okahandja mammarenavirus	KP867642, KM272988	NC_027137, NC_027135	KP867642, KM272988	Okahandja virus strain N73 OkhMi.n4 segment L, complete sequence., Okahandja virus strain N73 OkhMi.n4 segment S glycoprotein precursor and nucleocapsid protein genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Oliveros mammarenavirus	AY216514, U34248	NC_010250, NC_010248	AY216514, U34248	Oliveros virus strain 3229 segment L, complete sequence., Oliveros virus glycoprotein precursor and nucleocapsid protein genes, complete cds.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Parana mammarenavirus	EU627613, AF485261	NC_010761, NC_010756	EU627613, AF485261	Parana virus strain 12056 segment L, complete sequence., Parana virus strain 12056 segment S, complete sequence.	vertebrates
V_-ssRNAviruses	Bunyavirales	Arenaviridae		Mammarenavirus	Arenaviridae	Pichinde mammarenavirus	AF427517, K02734	NC_006439, NC_006447	AF427517, K02734	Pichinde arenavirus large RNA segment, complete sequence., Pichinde virus GPC precursor protein and N protein genes, complete cds.	vertebrates
